"","dose","weight","gesttime","number"
"1","0",28.05,22.5,15
"2","0",33.33,22.5,14
"3","0",36.37,22,14
"4","0",35.52,22,13
"5","0",36.77,21.5,15
"6","0",29.6,23,5
"7","0",27.72,21.5,16
"8","0",33.67,22.5,15
"9","0",32.55,22.5,14
"10","0",32.78,21.5,15
"11","0",31.05,22,12
"12","0",33.4,22.5,15
"13","0",30.2,22,16
"14","0",28.63,21.5,7
"15","0",33.38,22,15
"16","0",33.43,22,13
"17","0",29.63,21.5,14
"18","0",33.08,22,15
"19","0",31.53,22.5,16
"20","0",35.48,22,9
"21","5",34.83,22.5,15
"22","5",26.33,22.5,7
"23","5",24.28,22.5,15
"24","5",38.63,23,9
"25","5",27.92,22,13
"26","5",33.85,22.5,13
"27","5",24.95,22.5,17
"28","5",33.2,22.5,15
"29","5",36.03,22.5,12
"30","5",26.8,22,13
"31","5",31.67,22,14
"32","5",30.33,21.5,12
"33","5",26.83,22.5,14
"34","5",32.18,22,13
"35","5",33.77,22.5,16
"36","5",21.3,21.5,9
"37","5",25.78,21.5,14
"38","5",19.9,21.5,12
"39","5",28.28,22.5,16
"40","50",31.28,22,16
"41","50",35.8,21.5,16
"42","50",27.97,21.5,14
"43","50",33.13,22.5,15
"44","50",30.6,22.5,15
"45","50",30.17,21.5,15
"46","50",27.07,21.5,14
"47","50",32.02,22,17
"48","50",36.72,22.5,13
"49","50",28.5,21.5,14
"50","50",21.58,21.5,16
"51","50",30.82,22.5,17
"52","50",30.55,22,14
"53","50",27.63,22,14
"54","50",22.97,22,12
"55","50",29.55,21.5,12
"56","50",31.93,22,14
"57","50",29.3,21.5,16
"58","500",24.55,22,7
"59","500",33.78,22.5,13
"60","500",32.98,22,10
"61","500",25.38,21.5,11
"62","500",30.32,22,15
"63","500",19.22,22.5,11
"64","500",26.37,21.5,14
"65","500",28.6,22.5,9
"66","500",19.7,22,11
"67","500",32.88,22.5,15
"68","500",26.12,22.5,13
"69","500",33.2,22,12
"70","500",32.97,22.5,14
"71","500",38.75,23,16
"72","500",33.15,22.5,12
"73","500",30.7,21.5,13
"74","500",35.32,22,17
